;X;Y;kappa
138;-9.9309485;-215.3016584;0.0387845
139;-6.9354216;-215.5127519;0.0393492
140;-3.9403027;-215.3815622;0.0402267
141;-0.9873600;-214.8969628;0.0401453
142;1.8825492;-214.0521084;0.0394646
143;4.6339424;-212.8654169;0.0391788
144;7.2333014;-211.3645402;0.0387637
145;9.6471113;-209.5771439;0.0386921
146;11.8418570;-207.5308935;0.0383218
147;13.7840233;-205.2534545;0.0383453
148;15.4425830;-202.7731548;0.0389218
149;16.8013787;-200.1222811;0.0385538
150;17.8497539;-197.3345842;0.0382855
151;18.5770608;-194.4438176;0.0385099
152;18.9726515;-191.4837347;0.0376074
153;19.0258783;-188.4880887;0.0366964
154;18.7268727;-185.4909106;0.0377470
155;18.0814389;-182.5318164;0.0387115
156;17.1098988;-179.6555950;0.0393149
157;15.8331219;-176.9072305;0.0393422
158;14.2719777;-174.3317070;0.0373152
159;12.4473355;-171.9740088;0.0358265
160;10.3805547;-169.8767088;0.0318251
161;8.1029898;-168.0331665;0.0278592
162;5.6553334;-166.3907637;0.0183434
163;3.0786364;-164.8951187;0.0131865
164;0.4139496;-163.4918504;0.0015423
165;-2.2976762;-162.1265773;-0.0045983
166;-5.0148116;-160.7450732;-0.0164829
167;-7.6881022;-159.2963566;-0.0217354
168;-10.2606837;-157.7325217;-0.0301244
169;-12.6753954;-156.0057837;-0.0338904
170;-14.8750770;-154.0683577;-0.0375854
171;-16.8025680;-151.8724591;-0.0438513
172;-18.4011717;-149.3736764;-0.0481238
173;-19.6240537;-146.5993480;-0.0567753
174;-20.4338160;-143.6454598;-0.0594591
175;-20.7934388;-140.6107503;-0.0597923
176;-20.6659023;-137.5939579;-0.0591984
177;-20.0141867;-134.6938211;-0.0622723
178;-18.8042289;-132.0087497;-0.0686560
179;-17.0648483;-129.6301616;-0.0694029
180;-14.8850255;-127.6427855;-0.0647206
181;-12.3563821;-126.1277709;-0.0524392
182;-9.5754194;-125.0955356;-0.0500590
183;-6.6433188;-124.4886557;-0.0410996
184;-3.6592079;-124.2470899;-0.0357981
185;-0.6745095;-124.3132505;-0.0265312
186;2.3049977;-124.6318983;-0.0225090
187;5.2753654;-125.1478879;-0.0137913
188;8.2326452;-125.8060741;-0.0092572
189;11.1728889;-126.5513116;-0.0030042
190;14.0923625;-127.3296282;-0.0012215
191;16.9919954;-128.1125838;0.0001934
192;19.8772384;-128.8964917;0.0002427
193;22.7537282;-129.6786824;0.0005046
194;25.6271013;-130.4564866;0.0005754
195;28.5029945;-131.2272347;0.0002252
196;31.3868803;-131.9883762;0.0000184
197;34.2805680;-132.7400135;-0.0000862
198;37.1822621;-133.4848599;-0.0001871
199;40.0900149;-134.2257388;-0.0003735
200;43.0018786;-134.9654735;-0.0004725
201;45.9159058;-135.7068876;-0.0006718
202;48.8301485;-136.4528044;-0.0007717
203;51.7426592;-137.2060475;-0.0009664
204;54.6514902;-137.9694401;-0.0010612
205;57.5546938;-138.7458059;-0.0012395
206;60.4503222;-139.5379681;-0.0013251
207;63.3364279;-140.3487502;-0.0013722
208;66.2110670;-141.1809692;-0.0013303
209;69.0737594;-142.0350435;-0.0009813
210;71.9276689;-142.9054197;-0.0006331
211;74.7765170;-143.7856306;0.0000172
212;77.6240250;-144.6692088;0.0003451
213;80.4739144;-145.5496871;0.0010120
214;83.3299066;-146.4205982;0.0013548
215;86.1957231;-147.2754749;0.0020816
216;89.0750852;-148.1078499;0.0024657
217;91.9717145;-148.9112559;0.0032809
218;94.8893323;-149.6792257;0.0040565
219;97.8316600;-150.4052919;0.0146472
220;100.8023971;-151.0828832;0.0246402
221;103.7953533;-151.6587852;0.0410286
222;106.7789051;-151.9598286;0.0501119
223;109.7173966;-151.7938261;0.0643512
224;112.5620999;-150.9958453;0.0770804
225;115.1726468;-149.5920284;0.0834044
226;117.3694620;-147.6902651;0.0781686
227;118.9975437;-145.3954323;0.0608442
228;120.0747938;-142.7891689;0.0554579
229;120.6929329;-139.9431934;0.0511271
230;120.9439577;-136.9291868;0.0326076
231;120.9198652;-133.8188304;0.0152830
232;120.7126520;-130.6838052;0.0093915
233;120.4115339;-127.5886126;-0.0022267
234;120.0862327;-124.5474263;-0.0075133
235;119.7981308;-121.5528904;-0.0160318
236;119.6085792;-118.5975678;-0.0198337
237;119.5789290;-115.6740214;-0.0255394
238;119.7705310;-112.7748140;-0.0263826
239;120.2360362;-109.8938796;-0.0258384
240;120.9661040;-107.0349207;-0.0248170
241;121.9244862;-104.2058802;-0.0216747
242;123.0748256;-101.4147181;-0.0196269
243;124.3807649;-98.6693945;-0.0150059
244;125.8059467;-95.9778693;-0.0129407
