,X,Y
74,-10.765739337628334,-48.624999931529146
75,-10.877953521919386,-49.288833624652824
76,-10.989144046333008,-49.95283954076193
77,-11.09932330887159,-50.617014009006624
78,-11.208456058733631,-51.28136123540558
79,-11.316562053869722,-51.94587630522414
80,-11.42362853642789,-52.610559658260335
81,-11.529636109191797,-53.27541271042172
82,-11.634598717100154,-53.9404315318682
83,-11.738497916392022,-54.6056173291856
84,-11.8413231065906,-55.27096998881018
85,-11.943082523979154,-55.936486479116276
86,-12.043761413607097,-56.60216729397355
87,-12.143343802483727,-57.268013017957905
88,-12.24183927322754,-57.93402038613849
89,-12.339240441170945,-58.60018867837386
90,-12.43552224675635,-59.26651967463337
91,-12.530692054915722,-59.93301039313319
92,-12.624745954480051,-60.59965949982108
93,-12.717676397436692,-61.26646615079455
94,-12.809461232586287,-61.93343145927659
95,-12.900104838578951,-62.600552815049646
96,-12.989602917478926,-63.26782881070601
97,-13.07794775645361,-63.9352584717121
98,-13.165131599437498,-64.60284078890143
99,-13.251135109977382,-65.270576192913
100,-13.33596070101756,-65.93846224709765
101,-13.41960263435798,-66.60649756147347
102,-13.502052987525502,-67.27468098719642
103,-13.583303794424095,-67.94301133837858
104,-13.66334704526251,-68.61148739157575
105,-13.742174686486225,-69.28010788527021
106,-13.819776319984348,-69.94887178414007
107,-13.896141865678208,-70.61777795519417
108,-13.97126829607554,-71.28682442126188
109,-14.045147389568951,-71.9560097676084
110,-14.117770880541762,-72.6253325388481
111,-14.189130459327519,-73.29479123839756
112,-14.259217772174567,-73.96438432792328
113,-14.3280244212159,-74.63411022678429
114,-14.39554196444431,-75.30396731146966
115,-14.461761915693046,-75.9739539150307
116,-14.526675744622073,-76.64406832650832
117,-14.590274876710046,-77.3143087903547
118,-14.652550693252191,-77.98467350585041
119,-14.713494531364166,-78.6551606265159
120,-14.773097683992052,-79.32576825951818
121,-14.831351399928671,-79.9964944650721
122,-14.88823935387926,-80.66733788704879
123,-14.943758691976077,-81.33829595490897
124,-14.997901032842963,-82.00936653483893
125,-15.050657441050927,-82.6805474872976
126,-15.102018937186859,-83.35183662261916
127,-15.151976497911598,-84.02323170038274
128,-15.20052105602531,-84.69473042877738
129,-15.247631751863787,-85.36633127643361
130,-15.293306419326738,-86.03803130562483
131,-15.337539521152625,-86.70982779877612
132,-15.380321807539083,-87.38171824544725
133,-15.421641226456812,-88.05370024707605
134,-15.46147302875891,-88.72577206476063
135,-15.49982487395196,-89.39792994990574
136,-15.53668733128916,-90.07017116197122
137,-15.572039436409044,-90.74249349493668
138,-15.605869164490443,-91.41489414386585
139,-15.638179790205646,-92.08736949740295
140,-15.6689521817449,-92.75991699835934
141,-15.698166735176098,-93.43253396637252
142,-15.725832040811813,-94.10521643383422
143,-15.75192031833946,-94.7779619072921
144,-15.77642527206945,-95.4507669097494
145,-15.79934813823846,-96.1236276758157
146,-15.820648560797292,-96.79654175448039
147,-15.840348139428748,-97.46950459532725
148,-15.858408123623125,-98.14251342976218
149,-15.874837339692037,-98.8155640455069
150,-15.889609239883955,-99.4886530705874
151,-15.902722862640767,-100.16177644504972
152,-15.914156261715407,-100.83493044989667
153,-15.923908641310625,-101.50811090869567
154,-15.931952625307115,-102.18131394279895
155,-15.938297698740158,-102.85453513665222
156,-15.942900863370754,-103.52777049034125
157,-15.945780961771986,-104.20101541232702
158,-15.946902618868181,-104.87426556284946
159,-15.946262576030694,-105.54751633170513
160,-15.943857569839777,-106.22076311751792
161,-15.93964585741943,-106.89400102308713
162,-15.933640263203987,-107.56722529945934
163,-15.925827202577038,-108.24043103420874
164,-15.916170742854034,-108.9136128502405
165,-15.904675554633968,-109.58676576162938
166,-15.89132980861742,-110.2598845255033
167,-15.876115848005853,-110.93296366594348
168,-15.859005378563504,-111.60599725986056
169,-15.840000691631683,-112.27898001243199
170,-15.819086638914317,-112.9519061288214
171,-15.796248004392757,-113.62476967886214
172,-15.771469505325348,-114.29756459528157
173,-15.744725486613625,-114.97028424637992
174,-15.71601112313903,-115.64292266106816
175,-15.685312135129578,-116.31547340884967
176,-15.652612995733554,-116.98792986987208
177,-15.617898116913832,-117.66028527848103
178,-15.581151850697603,-118.33253272142045
179,-15.542358490471148,-119.00466513603037
180,-15.501502272320417,-119.67667530844396
181,-15.458567376418104,-120.34855587178328
182,-15.413537928457902,-121.02029930435562
183,-15.3663980011367,-121.69189792785053
184,-15.317131615685353,-122.36334390553873
185,-15.265722743448778,-123.03462924047322
186,-15.212155307515975,-123.70574577369433
187,-15.156413184400769,-124.3766851824385
188,-15.098480205773809,-125.04743897835262
189,-15.038327008585933,-125.71799730542064
190,-14.975948647023065,-126.38835227933453
191,-14.911329018756685,-127.05849490422048
192,-14.8444517846725,-127.72841599370459
193,-14.77530057046162,-128.39810618673852
194,-14.703837445939193,-129.06755361473438
195,-14.630065628681345,-129.7367505416942
196,-14.553968813504357,-130.4056870711086
197,-14.475516932963272,-131.07435149239544
198,-14.394692031874214,-131.7427332135974
199,-14.311490822533955,-132.41082328448906
200,-14.22587549497384,-133.07860827562507
201,-14.137838108950614,-133.7460782614781
202,-14.047365445138631,-134.41322251829854
203,-13.954418369971759,-135.08002653389178
204,-13.85900759745314,-135.74648248587215
205,-13.761077141992983,-136.41257284668035
206,-13.660647247109129,-137.07829093185202
207,-13.557659594942308,-137.743618120598
208,-13.45212938262281,-138.4085467471497
209,-13.344010648267288,-139.073059381455
210,-13.233298804997151,-139.7371448905789
211,-13.119975092900777,-140.40078969185518
212,-13.004000252901493,-141.06397632200043
213,-12.885376965305516,-141.72669433141553
214,-12.764078533926574,-142.3889279384336
215,-12.640068324890706,-143.0506590859849
216,-12.51334484165769,-143.711875969599
217,-12.383885842303286,-144.37256271446012
218,-12.251666237767346,-145.03270254770194
219,-12.116654190699736,-145.69227692179874
220,-11.9788420183698,-146.35127189552688
221,-11.83820758343434,-147.0096703342813
222,-11.69472878757219,-147.66745477619804
223,-11.548383578089288,-148.32460743011913
224,-11.399149954664173,-148.98111017366702
225,-11.247005976233275,-149.63694455143235
