,X,Y,phi
83,141.5278457205496,-197.85715981949724,-0.4682933239818805
84,144.6189549761879,-191.74608287602035,-0.4187148561216758
85,147.4033897450149,-185.48937591785324,-0.3662447183107902
86,149.85582063779026,-179.09533090338041,-0.31142223924128065
87,151.95417240278744,-172.57661310139488,-0.2534621447636676
88,153.67137020778847,-165.94735229308677,-0.1921551056345463
89,154.97915999474478,-159.2254183350043,-0.12767227490430422
90,155.8510672721891,-152.43330392974985,-0.05998257226162851
91,156.26156349344592,-145.5979219458605,0.010133479341547735
92,156.19217489392295,-138.75069582970193,0.0823219293799291
93,155.6291104811018,-131.92636726651781,0.15453111873846703
94,154.57515596497595,-125.16040512755941,0.22360096223615522
95,153.05670572450532,-118.48306667059686,0.28292129810013833
96,151.14490479827433,-111.9069730625575,0.31269066151095437
97,149.03800385371318,-105.39004865192189,0.22547353767195233
98,147.51051100424124,-98.7306435037866,-0.5333286579569088
99,150.75113313682726,-93.24175837167725,-1.3223170035690712
100,157.36515899794176,-91.56362970988266,-1.3223170035690712
